County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Bonner,Idaho,48.3097430,-116.6149142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Bonneville,Idaho,43.3877465,-111.6149492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,5
Boone,Arkansas,36.3055572,-93.0940322,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Boone,Indiana,40.0507449,-86.4686988,1,1,1,1,1,1,2,2,3,3,3,4,7,7,8,13,20,22,29,32,38
Boone,Iowa,42.0364866,-93.9316386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Boone,Kentucky,38.9677472,-84.7249887,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,8,8,8,10
Boone,Missouri,38.9917440,-92.3091673,0,0,0,1,1,3,8,15,15,17,17,24,37,42,49,54,59,66,66,69,74
Bossier,Louisiana,32.6788619,-93.6053107,0,1,1,1,1,2,5,5,5,12,12,25,32,37,45,56,57,63,75,87,95
Botetourt,Virginia,37.5571518,-79.8122935,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,5,5,6,8,8
Boulder,Colorado,40.0157400,-105.2792400,0,3,7,11,11,11,16,30,37,39,39,51,66,76,84,90,100,107,107,132,143
