County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
Terrebonne,Louisiana,102,5,2,2,2.0%,29.43006669,-90.87546183,2020-04-03 21:59 EDT
Bossier,Louisiana,95,8,2,2,2.1%,32.67886191,-93.60531071,2020-04-03 21:59 EDT
Rapides,Louisiana,81,4,4,4,4.9%,31.19843924,-92.53308595,2020-04-03 21:59 EDT
Iberville,Louisiana,81,12,5,5,6.2%,30.25861183,-91.35399609,2020-04-03 21:59 EDT
Iberia,Louisiana,78,11,3,3,3.8%,29.898011199999996,-91.72954301,2020-04-03 21:59 EDT
Plaquemines,Louisiana,75,7,4,4,5.3%,29.48327508,-89.6525564,2020-04-03 21:59 EDT
Acadia,Louisiana,72,11,1,1,1.4%,30.29050871,-92.41197696,2020-04-03 21:59 EDT
St. Martin,Louisiana,69,11,3,3,4.3%,30.12895397,-91.60824755,2020-04-03 21:59 EDT
St. Landry,Louisiana,68,12,2,2,2.9%,30.844359999999998,-92.2579,2020-04-03 21:59 EDT
Washington,Louisiana,57,7,2,2,3.5%,30.85339216,-90.04050446,2020-04-03 21:59 EDT
Tangipahoa,Louisiana,55,13,1,1,1.8%,30.64545741,-90.41177337,2020-04-03 21:59 EDT
St. Mary,Louisiana,47,5,0,0,0.0%,29.71330317,-91.44813878,2020-04-03 21:59 EDT
De Soto,Louisiana,46,4,2,2,4.3%,32.05631831,-93.73641134,2020-04-03 21:59 EDT
Parish Under Investigation,Louisiana,40,2,4,4,10.0%,30.18584616700008,-91.42641999999996,2020-04-03 21:59 EDT
Livingston,Louisiana,40,7,1,1,2.5%,30.45023884,-90.73914828,2020-04-03 21:59 EDT
Avoyelles,Louisiana,37,3,1,1,2.7%,31.07628851,-92.00134123,2020-04-03 21:59 EDT
Allen,Louisiana,34,8,3,3,8.8%,30.6527174,-92.82796952,2020-04-03 21:59 EDT
Assumption,Louisiana,33,2,0,0,0.0%,29.9008158,-91.06259177,2020-04-03 21:59 EDT
Webster,Louisiana,23,4,2,2,8.7%,32.71359019,-93.33509249,2020-04-03 21:59 EDT
West Baton Rouge,Louisiana,23,4,3,3,13.0%,30.45019000000001,-91.20510999999999,2020-04-03 21:59 EDT
East Feliciana,Louisiana,19,5,0,0,0.0%,30.844826069000106,-91.04601836599993,2020-04-03 21:59 EDT
Vermilion,Louisiana,18,2,1,1,5.6%,29.852994306,-92.31213269700001,2020-04-03 21:59 EDT
Claiborne,Louisiana,18,7,2,2,11.1%,32.82278787,-92.99576115,2020-04-03 21:59 EDT
Evangeline,Louisiana,18,2,0,0,0.0%,30.72895002,-92.405885,2020-04-03 21:59 EDT
Lincoln,Louisiana,17,4,0,0,0.0%,33.98547052,-91.55475994,2020-04-03 21:59 EDT
Union,Louisiana,17,4,0,0,0.0%,32.8318561880001,-92.374800889,2020-04-03 21:59 EDT
Jefferson Davis,Louisiana,14,1,0,0,0.0%,30.26768508300011,-92.8141435379999,2020-04-03 21:59 EDT
Beauregard,Louisiana,13,3,0,0,0.0%,30.64850162,-93.34333182,2020-04-03 21:59 EDT
Pointe Coupee,Louisiana,13,1,0,0,0.0%,30.7346500000001,-91.43281,2020-04-03 21:59 EDT
West Feliciana,Louisiana,11,0,0,0,0.0%,30.8819257600001,-91.4169597279999,2020-04-03 21:59 EDT
Concordia,Louisiana,10,2,1,1,10.0%,31.44941940200005,-91.643173715,2020-04-03 21:59 EDT
Franklin,Louisiana,10,5,0,0,0.0%,32.13329942700011,-91.673797081,2020-04-03 21:59 EDT
Bienville,Louisiana,9,1,1,1,11.1%,32.34725238,-93.05591905,2020-04-03 21:59 EDT
Vernon,Louisiana,8,1,0,0,0.0%,31.10830016,-93.18407486,2020-04-03 21:59 EDT
Morehouse,Louisiana,7,3,0,0,0.0%,32.8201776540001,-91.801805865,2020-04-03 21:59 EDT
Catahoula,Louisiana,6,1,1,1,16.7%,31.666355100000004,-91.84685928,2020-04-03 21:59 EDT
