County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
Arapahoe,Colorado,22,0,0,0%,39.64976719,-104.3392044,2020-03-19 10:44 EDT
Douglas,Colorado,11,0,0,0%,39.32966642,-104.9295706,2020-03-19 10:44 EDT
Pitkin,Colorado,11,0,0,0%,39.21712515,-106.9167355,2020-03-19 10:44 EDT
Gunnison,Colorado,11,0,0,0%,38.54526,-106.92692,2020-03-19 10:44 EDT
Boulder,Colorado,11,0,0,0%,40.01574,-105.27924,2020-03-19 10:44 EDT
Adams,Colorado,10,0,0,0%,39.87375914,-104.3366349,2020-03-19 10:44 EDT
Weld,Colorado,9,0,1,11.1%,40.55477273,-104.3924353,2020-03-19 10:44 EDT
El Paso,Colorado,8,0,1,12.5%,38.83212691,-104.5255141,2020-03-19 10:44 EDT
Summit,Colorado,5,0,0,0%,39.6341694,-106.1163607,2020-03-19 10:44 EDT
Larimer,Colorado,4,0,0,0%,40.66645245,-105.4609363,2020-03-19 10:44 EDT
Unassign,Colorado,3,0,0,0%,29.62086755900004,-96.52629252499996,2020-03-19 10:44 EDT
Routt,Colorado,2,0,0,0%,40.48499792,-106.9912189,2020-03-19 10:44 EDT
Garfield,Colorado,2,0,0,0%,39.59922654,-107.9040019,2020-03-19 10:44 EDT
Clear Creek,Colorado,2,0,0,0%,39.68905313,-105.6443322,2020-03-19 10:44 EDT
Pueblo,Colorado,1,0,0,0%,38.26375,-104.61252,2020-03-19 10:44 EDT
Mesa,Colorado,1,0,0,0%,39.16616,-108.13889,2020-03-19 10:44 EDT
Grand,Colorado,1,0,0,0%,40.102637375000036,-106.11828379199993,2020-03-19 10:44 EDT
Fulton,Georgia,49,0,0,0%,33.79024066,-84.46711002,2020-03-19 10:44 EDT
Cobb,Georgia,28,0,1,3.6%,33.9414802,-84.57663741,2020-03-19 10:44 EDT
Bartow,Georgia,19,0,0,0%,34.23764397,-84.84072940000001,2020-03-19 10:44 EDT
DeKalb,Georgia,18,0,0,0%,33.77153731,-84.22646531,2020-03-19 10:44 EDT
Cherokee,Georgia,9,0,0,0%,34.24398966,-84.47624414,2020-03-19 10:44 EDT
Fayette,Georgia,8,0,0,0%,33.413909100000005,-84.49427247,2020-03-19 10:44 EDT
Gwinnett,Georgia,7,0,0,0%,33.96118879,-84.0235873,2020-03-19 10:44 EDT
Dougherty,Georgia,7,0,2,28.6%,31.53332494,-84.21629439,2020-03-19 10:44 EDT
Floyd,Georgia,6,0,0,0%,34.26324245,-85.21452762,2020-03-19 10:44 EDT
Clayton,Georgia,6,0,0,0%,33.54197299,-84.35769948,2020-03-19 10:44 EDT
Lowndes,Georgia,5,0,0,0%,30.83362831,-83.26769554,2020-03-19 10:44 EDT
Clarke,Georgia,5,0,0,0%,33.95110572,-83.36741217,2020-03-19 10:44 EDT
Gordon,Georgia,3,0,0,0%,34.50319646,-84.87587883,2020-03-19 10:44 EDT
Coweta,Georgia,3,0,0,0%,33.35360269,-84.76336691,2020-03-19 10:44 EDT
Newton,Georgia,3,0,0,0%,33.55500659,-83.8502182,2020-03-19 10:44 EDT
Hall,Georgia,3,0,0,0%,34.32041152,-83.81043541,2020-03-19 10:44 EDT
Paulding,Georgia,3,0,0,0%,33.92042456,-84.8672012,2020-03-19 10:44 EDT
Lee,Georgia,2,0,0,0%,31.77959716,-84.14088023,2020-03-19 10:44 EDT
Henry,Georgia,2,0,0,0%,33.45301628,-84.15426282,2020-03-19 10:44 EDT
Troup,Georgia,2,0,0,0%,33.03351893,-85.02826168,2020-03-19 10:44 EDT
Forsyth,Georgia,2,0,0,0%,34.22493225,-84.13349923,2020-03-19 10:44 EDT
Polk,Georgia,1,0,0,0%,34.00168812,-85.18810974,2020-03-19 10:44 EDT
Charlton,Georgia,1,0,0,0%,30.78171091,-82.13776476,2020-03-19 10:44 EDT
Richmond,Georgia,1,0,0,0%,33.359629675000065,-82.07361638099997,2020-03-19 10:44 EDT
Columbia,Georgia,1,0,0,0%,33.53724806400004,-82.26219608899999,2020-03-19 10:44 EDT
Houston,Georgia,1,0,0,0%,32.45894642800005,-83.66617499499995,2020-03-19 10:44 EDT
Whitfield,Georgia,1,0,0,0%,34.80552576400004,-84.96721045199995,2020-03-19 10:44 EDT
Barrow,Georgia,1,0,0,0%,33.993225155000054,-83.71272532999996,2020-03-19 10:44 EDT
Montgomery,Pennsylvania,42,0,0,0%,40.21089424,-75.36736378,2020-03-19 10:44 EDT
